Name,Position,Contract Expiring,Current Team and League,Value,Agent,Primary Nationality,Secondary Nationality,,,,,,,,,,,,,,,,
Henrikh Mkhitaryan,"
            Attacking Midfield","Jan 21, 1989 (33)","AS Roma
 Serie A",€10.00m,Mino Raiola,Armenia,,,,,,,,,,,,,,,,,"@                     
        
"
Juan Cuadrado,Right-Back,"May 26, 1988 (33)","Juventus
 Serie A",€10.00m,Alessandro Lucci - WSA,Colombia,,,,,,,,,,,,,,,,,"@                
        
        
"
Eddie Nketiah,Centre-Forward,"May 30, 1999 (22)","Arsenal
 Premier League",€10.00m,Elite Project Group Ltd,England,Ghana,,,,,,,,,,,,,,,,"@                
        
        
"
Ben Brereton Díaz,"
            Centre-Forward","Apr 18, 1999 (22)","Blackburn
 Championship",€10.00m,Wasserman,Chile,England,,,,,,,,,,,,,,,,"@                    
        
"
Artem Dzyuba,Centre-Forward,"Aug 22, 1988 (33)","Zenit S-Pb
 Premier Liga",€9.00m,Gestifute,Russia,,,,,,,,,,,,,,,,,"@               
        
        
"
Viktor Claesson,Left Winger,"Jan 2, 1992 (30)","FC Copenhagen
 Superligaen",€9.00m,MD Management,Sweden,,,,,,,,,,,,,,,,,"@                  
        
        
"
Mohamed Elneny,Defensive Midfield,"Jul 11, 1992 (29)","Arsenal
 Premier League",€9.00m,DW Sports Management,Egypt,,,,,,,,,,,,,,,,,"@                 
        
        
"
Romain Saïss,Centre-Back,"Mar 26, 1990 (32)","Wolves
 Premier League",€9.00m,VV Consulting,Morocco,France,,,,,,,,,,,,,,,,"@               
        
        
"
Enis Bardhi,Attacking Midfield,"Jul 2, 1995 (26)","Levante
 LaLiga",€9.00m,,North Macedonia,,,,,,,,,,,,,,,,,"@              
        
        
"
Xeka,Central Midfield,"Nov 10, 1994 (27)","LOSC Lille
 Ligue 1",€9.00m,International Foot,Portugal,,,,,,,,,,,,,,,,,"@       
        
        
"
Dan-Axel Zagadou,"
            Centre-Back","Jun 3, 1999 (22)","Bor. Dortmund
 Bundesliga",€9.00m,,France,Cote d'Ivoire,,,,,,,,,,,,,,,,"@                   
        
"
Cristian Pavón,Right Winger,"Jan 21, 1996 (26)","Boca Juniors
 Copa de la Liga",€8.50m,Fernando Hidalgo,Argentina,Italy,,,,,,,,,,,,,,,,"@                 
        
        
"
Sam Johnstone,Goalkeeper,"Mar 25, 1993 (29)","West Brom
 Championship",€8.00m,Unique Sports Group,England,,,,,,,,,,,,,,,,,"@                
        
        
"
